Freq.	V(n001)-V(n002)	I(D1)
1.33045441797808e+01	(-5.92726430852430e+01dB,-9.01324212299562e-05°)	(-8.00949629205516e+01dB,9.90825167688943e-07°)
1.33352143216332e+01	(-5.92726430852430e+01dB,-9.03401979194252e-05°)	(-8.00949629205516e+01dB,9.93109255596607e-07°)
1.33659551654643e+01	(-5.92726430852429e+01dB,-9.05484535836326e-05°)	(-8.00949629205516e+01dB,9.95398608867789e-07°)
1.33967668742593e+01	(-5.92726430852431e+01dB,-9.07571893267294e-05°)	(-8.00949629205516e+01dB,9.97693239643136e-07°)
1.34276496113785e+01	(-5.92726430852431e+01dB,-9.09664062554090e-05°)	(-8.00949629205516e+01dB,9.99993160089331e-07°)
1.34586035405594e+01	(-5.92726430852431e+01dB,-9.11761054789173e-05°)	(-8.00949629205516e+01dB,1.00229838240063e-06°)
1.34896288259164e+01	(-5.92726430852432e+01dB,-9.13862881090615e-05°)	(-8.00949629205516e+01dB,1.00460891879578e-06°)
1.35207256319427e+01	(-5.92726430852433e+01dB,-9.15969552602077e-05°)	(-8.00949629205516e+01dB,1.00692478153030e-06°)
1.35518941235103e+01	(-5.92726430852432e+01dB,-9.18081080492921e-05°)	(-8.00949629205516e+01dB,1.00924598287808e-06°)
1.35831344658714e+01	(-5.92726430852434e+01dB,-9.20197475958284e-05°)	(-8.00949629205516e+01dB,1.01157253514671e-06°)
1.36144468246594e+01	(-5.92726430852434e+01dB,-9.22318750219051e-05°)	(-8.00949629205516e+01dB,1.01390445067287e-06°)
1.36458313658891e+01	(-5.92726430852435e+01dB,-9.24444914522017e-05°)	(-8.00949629205516e+01dB,1.01624174181929e-06°)
1.36772882559584e+01	(-5.92726430852436e+01dB,-9.26575980139902e-05°)	(-8.00949629205516e+01dB,1.01858442097780e-06°)
1.37088176616484e+01	(-5.92726430852438e+01dB,-9.28711958371379e-05°)	(-8.00949629205516e+01dB,1.02093250056930e-06°)
1.37404197501251e+01	(-5.92726430852436e+01dB,-9.30852860541201e-05°)	(-8.00949629205516e+01dB,1.02328599304689e-06°)
1.37720946889394e+01	(-5.92726430852437e+01dB,-9.32998698000224e-05°)	(-8.00949629205516e+01dB,1.02564491088356e-06°)
1.38038426460287e+01	(-5.92726430852439e+01dB,-9.35149482125512e-05°)	(-8.00949629205516e+01dB,1.02800926658293e-06°)
1.38356637897177e+01	(-5.92726430852439e+01dB,-9.37305224320214e-05°)	(-8.00949629205516e+01dB,1.03037907269152e-06°)
1.38675582887188e+01	(-5.92726430852440e+01dB,-9.39465936013916e-05°)	(-8.00949629205516e+01dB,1.03275434176503e-06°)
1.38995263121334e+01	(-5.92726430852439e+01dB,-9.41631628662492e-05°)	(-8.00949629205516e+01dB,1.03513508640050e-06°)
