time,original,q2_14,q4_12,add,sub,mul
0.003812,-1.847759,-1.847778,-1.847656,-3.695435,-0.000122,3.414059
0.003833,-1.732051,-1.732056,-1.731934,-3.463989,-0.000122,2.999805
0.003854,-1.586707,-1.586731,-1.586670,-3.173401,-0.000061,2.517618
0.003875,-1.414214,-1.414185,-1.414307,-2.828491,0.000122,2.000091
0.003896,-1.217523,-1.217529,-1.217529,-2.435059,0.000000,1.482378
0.003917,-1.000000,-1.000000,-1.000000,-2.000000,0.000000,1.000000
0.003938,-0.765367,-0.765381,-0.765381,-1.530762,0.000000,0.585808
0.003958,-0.517638,-0.517639,-0.517578,-1.035217,-0.000061,0.267919
0.003979,-0.261052,-0.261047,-0.260986,-0.522034,-0.000061,0.068130
0.004000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.004021,0.261052,0.261047,0.260986,0.522034,0.000061,0.068130
0.004042,0.517638,0.517639,0.517578,1.035217,0.000061,0.267919
0.004063,0.765367,0.765381,0.765381,1.530762,0.000000,0.585808
0.004083,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000
0.004104,1.217523,1.217529,1.217529,2.435059,0.000000,1.482378
0.004125,1.414214,1.414185,1.414307,2.828491,-0.000122,2.000091
0.004146,1.586707,1.586731,1.586670,3.173401,0.000061,2.517618
0.004167,1.732051,1.732056,1.731934,3.463989,0.000122,2.999805
0.004188,1.847759,1.847778,1.847656,3.695435,0.000122,3.414059
0.004208,1.931852,1.931824,1.931885,3.863708,-0.000061,3.732061
0.004229,1.982890,1.982910,1.982910,3.965820,0.000000,3.931933
0.004250,2.000000,1.999939,2.000000,3.999939,-0.000061,3.999878
0.004271,1.982890,1.982910,1.982910,3.965820,0.000000,3.931933
0.004292,1.931852,1.931824,1.931885,3.863708,-0.000061,3.732061
0.004313,1.847759,1.847778,1.847656,3.695435,0.000122,3.414059
0.004333,1.732051,1.732056,1.731934,3.463989,0.000122,2.999805
0.004354,1.586707,1.586731,1.586670,3.173401,0.000061,2.517618
0.004375,1.414214,1.414185,1.414307,2.828491,-0.000122,2.000091
0.004396,1.217523,1.217529,1.217529,2.435059,0.000000,1.482378
0.004417,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000
0.004437,0.765367,0.765381,0.765381,1.530762,0.000000,0.585808
0.004458,0.517638,0.517639,0.517578,1.035217,0.000061,0.267919
0.004479,0.261052,0.261047,0.260986,0.522034,0.000061,0.068130
0.004500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.004521,-0.261052,-0.261047,-0.260986,-0.522034,-0.000061,0.068130
0.004542,-0.517638,-0.517639,-0.517578,-1.035217,-0.000061,0.267919
0.004562,-0.765367,-0.765381,-0.765381,-1.530762,0.000000,0.585808
0.004583,-1.000000,-1.000000,-1.000000,-2.000000,0.000000,1.000000
0.004604,-1.217523,-1.217529,-1.217529,-2.435059,0.000000,1.482378
0.004625,-1.414214,-1.414185,-1.414307,-2.828491,0.000122,2.000091
0.004646,-1.586707,-1.586731,-1.586670,-3.173401,-0.000061,2.517618
0.004667,-1.732051,-1.732056,-1.731934,-3.463989,-0.000122,2.999805
0.004687,-1.847759,-1.847778,-1.847656,-3.695435,-0.000122,3.414059
0.004708,-1.931852,-1.931824,-1.931885,-3.863708,0.000061,3.732061
0.004729,-1.982890,-1.982910,-1.982910,-3.965820,0.000000,3.931933
0.004750,-2.000000,-2.000000,-2.000000,-4.000000,0.000000,4.000000
0.004771,-1.982890,-1.982910,-1.982910,-3.965820,0.000000,3.931933
0.004792,-1.931852,-1.931824,-1.931885,-3.863708,0.000061,3.732061
0.004812,-1.847759,-1.847778,-1.847656,-3.695435,-0.000122,3.414059
0.004833,-1.732051,-1.732056,-1.731934,-3.463989,-0.000122,2.999805
0.004854,-1.586707,-1.586731,-1.586670,-3.173401,-0.000061,2.517618
0.004875,-1.414214,-1.414185,-1.414307,-2.828491,0.000122,2.000091
0.004896,-1.217523,-1.217529,-1.217529,-2.435059,0.000000,1.482378
0.004917,-1.000000,-1.000000,-1.000000,-2.000000,0.000000,1.000000
0.004938,-0.765367,-0.765381,-0.765381,-1.530762,0.000000,0.585808
0.004958,-0.517638,-0.517639,-0.517578,-1.035217,-0.000061,0.267919
0.004979,-0.261052,-0.261047,-0.260986,-0.522034,-0.000061,0.068130
0.005000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.005021,0.261052,0.261047,0.260986,0.522034,0.000061,0.068130
0.005042,0.517638,0.517639,0.517578,1.035217,0.000061,0.267919
0.005063,0.765367,0.765381,0.765381,1.530762,0.000000,0.585808
0.005083,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000
0.005104,1.217523,1.217529,1.217529,2.435059,0.000000,1.482378
0.005125,1.414214,1.414185,1.414307,2.828491,-0.000122,2.000091
0.005146,1.586707,1.586731,1.586670,3.173401,0.000061,2.517618
0.005167,1.732051,1.732056,1.731934,3.463989,0.000122,2.999805
0.005188,1.847759,1.847778,1.847656,3.695435,0.000122,3.414059
0.005208,1.931852,1.931824,1.931885,3.863708,-0.000061,3.732061
0.005229,1.982890,1.982910,1.982910,3.965820,0.000000,3.931933
0.005250,2.000000,1.999939,2.000000,3.999939,-0.000061,3.999878
0.005271,1.982890,1.982910,1.982910,3.965820,0.000000,3.931933
0.005292,1.931852,1.931824,1.931885,3.863708,-0.000061,3.732061
0.005313,1.847759,1.847778,1.847656,3.695435,0.000122,3.414059
0.005333,1.732051,1.732056,1.731934,3.463989,0.000122,2.999805
0.005354,1.586707,1.586731,1.586670,3.173401,0.000061,2.517618
0.005375,1.414214,1.414185,1.414307,2.828491,-0.000122,2.000091
0.005396,1.217523,1.217529,1.217529,2.435059,0.000000,1.482378
0.005417,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000
0.005437,0.765367,0.765381,0.765381,1.530762,0.000000,0.585808
0.005458,0.517638,0.517639,0.517578,1.035217,0.000061,0.267919
0.005479,0.261052,0.261047,0.260986,0.522034,0.000061,0.068130
0.005500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.005521,-0.261052,-0.261047,-0.260986,-0.522034,-0.000061,0.068130
0.005542,-0.517638,-0.517639,-0.517578,-1.035217,-0.000061,0.267919
0.005562,-0.765367,-0.765381,-0.765381,-1.530762,0.000000,0.585808
0.005583,-1.000000,-1.000000,-1.000000,-2.000000,0.000000,1.000000
0.005604,-1.217523,-1.217529,-1.217529,-2.435059,0.000000,1.482378
0.005625,-1.414214,-1.414185,-1.414307,-2.828491,0.000122,2.000091
0.005646,-1.586707,-1.586731,-1.586670,-3.173401,-0.000061,2.517618
0.005667,-1.732051,-1.732056,-1.731934,-3.463989,-0.000122,2.999805
0.005687,-1.847759,-1.847778,-1.847656,-3.695435,-0.000122,3.414059
0.005708,-1.931852,-1.931824,-1.931885,-3.863708,0.000061,3.732061
0.005729,-1.982890,-1.982910,-1.982910,-3.965820,0.000000,3.931933
0.005750,-2.000000,-2.000000,-2.000000,-4.000000,0.000000,4.000000
0.005771,-1.982890,-1.982910,-1.982910,-3.965820,0.000000,3.931933
0.005792,-1.931852,-1.931824,-1.931885,-3.863708,0.000061,3.732061
0.005812,-1.847759,-1.847778,-1.847656,-3.695435,-0.000122,3.414059
0.005833,-1.732051,-1.732056,-1.731934,-3.463989,-0.000122,2.999805
0.005854,-1.586707,-1.586731,-1.586670,-3.173401,-0.000061,2.517618
0.005875,-1.414214,-1.414185,-1.414307,-2.828491,0.000122,2.000091
0.005896,-1.217523,-1.217529,-1.217529,-2.435059,0.000000,1.482378
0.005917,-1.000000,-1.000000,-1.000000,-2.000000,0.000000,1.000000
0.005938,-0.765367,-0.765381,-0.765381,-1.530762,0.000000,0.585808
0.005958,-0.517638,-0.517639,-0.517578,-1.035217,-0.000061,0.267919
0.005979,-0.261052,-0.261047,-0.260986,-0.522034,-0.000061,0.068130
0.006000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.006021,0.261052,0.261047,0.260986,0.522034,0.000061,0.068130
0.006042,0.517638,0.517639,0.517578,1.035217,0.000061,0.267919
0.006063,0.765367,0.765381,0.765381,1.530762,0.000000,0.585808
0.006083,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000
0.006104,1.217523,1.217529,1.217529,2.435059,0.000000,1.482378
0.006125,1.414214,1.414185,1.414307,2.828491,-0.000122,2.000091
0.006146,1.586707,1.586731,1.586670,3.173401,0.000061,2.517618
0.006167,1.732051,1.732056,1.731934,3.463989,0.000122,2.999805
0.006188,1.847759,1.847778,1.847656,3.695435,0.000122,3.414059
0.006208,1.931852,1.931824,1.931885,3.863708,-0.000061,3.732061
0.006229,1.982890,1.982910,1.982910,3.965820,0.000000,3.931933
0.006250,2.000000,1.999939,2.000000,3.999939,-0.000061,3.999878
0.006271,1.982890,1.982910,1.982910,3.965820,0.000000,3.931933
0.006292,1.931852,1.931824,1.931885,3.863708,-0.000061,3.732061
0.006313,1.847759,1.847778,1.847656,3.695435,0.000122,3.414059
0.006333,1.732051,1.732056,1.731934,3.463989,0.000122,2.999805
0.006354,1.586707,1.586731,1.586670,3.173401,0.000061,2.517618
0.006375,1.414214,1.414185,1.414307,2.828491,-0.000122,2.000091
0.006396,1.217523,1.217529,1.217529,2.435059,0.000000,1.482378
0.006417,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000
0.006437,0.765367,0.765381,0.765381,1.530762,0.000000,0.585808
0.006458,0.517638,0.517639,0.517578,1.035217,0.000061,0.267919
0.006479,0.261052,0.261047,0.260986,0.522034,0.000061,0.068130
0.006500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.006521,-0.261052,-0.261047,-0.260986,-0.522034,-0.000061,0.068130
0.006542,-0.517638,-0.517639,-0.517578,-1.035217,-0.000061,0.267919
0.006562,-0.765367,-0.765381,-0.765381,-1.530762,0.000000,0.585808
0.006583,-1.000000,-1.000000,-1.000000,-2.000000,0.000000,1.000000
0.006604,-1.217523,-1.217529,-1.217529,-2.435059,0.000000,1.482378
0.006625,-1.414214,-1.414185,-1.414307,-2.828491,0.000122,2.000091
0.006646,-1.586707,-1.586731,-1.586670,-3.173401,-0.000061,2.517618
0.006667,-1.732051,-1.732056,-1.731934,-3.463989,-0.000122,2.999805
0.006687,-1.847759,-1.847778,-1.847656,-3.695435,-0.000122,3.414059
0.006708,-1.931852,-1.931824,-1.931885,-3.863708,0.000061,3.732061
0.006729,-1.982890,-1.982910,-1.982910,-3.965820,0.000000,3.931933
0.006750,-2.000000,-2.000000,-2.000000,-4.000000,0.000000,4.000000
0.006771,-1.982890,-1.982910,-1.982910,-3.965820,0.000000,3.931933
0.006792,-1.931852,-1.931824,-1.931885,-3.863708,0.000061,3.732061
0.006812,-1.847759,-1.847778,-1.847656,-3.695435,-0.000122,3.414059
0.006833,-1.732051,-1.732056,-1.731934,-3.463989,-0.000122,2.999805
0.006854,-1.586707,-1.586731,-1.586670,-3.173401,-0.000061,2.517618
0.006875,-1.414214,-1.414185,-1.414307,-2.828491,0.000122,2.000091
0.006896,-1.217523,-1.217529,-1.217529,-2.435059,0.000000,1.482378
0.006917,-1.000000,-1.000000,-1.000000,-2.000000,0.000000,1.000000
0.006938,-0.765367,-0.765381,-0.765381,-1.530762,0.000000,0.585808
0.006958,-0.517638,-0.517639,-0.517578,-1.035217,-0.000061,0.267919
0.006979,-0.261052,-0.261047,-0.260986,-0.522034,-0.000061,0.068130
0.007000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.007021,0.261052,0.261047,0.260986,0.522034,0.000061,0.068130
0.007042,0.517638,0.517639,0.517578,1.035217,0.000061,0.267919
0.007063,0.765367,0.765381,0.765381,1.530762,0.000000,0.585808
0.007083,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000
0.007104,1.217523,1.217529,1.217529,2.435059,0.000000,1.482378
0.007125,1.414214,1.414185,1.414307,2.828491,-0.000122,2.000091
0.007146,1.586707,1.586731,1.586670,3.173401,0.000061,2.517618
0.007167,1.732051,1.732056,1.731934,3.463989,0.000122,2.999805
0.007188,1.847759,1.847778,1.847656,3.695435,0.000122,3.414059
0.007208,1.931852,1.931824,1.931885,3.863708,-0.000061,3.732061
0.007229,1.982890,1.982910,1.982910,3.965820,0.000000,3.931933
0.007250,2.000000,1.999939,2.000000,3.999939,-0.000061,3.999878
0.007271,1.982890,1.982910,1.982910,3.965820,0.000000,3.931933
0.007292,1.931852,1.931824,1.931885,3.863708,-0.000061,3.732061
0.007313,1.847759,1.847778,1.847656,3.695435,0.000122,3.414059
0.007333,1.732051,1.732056,1.731934,3.463989,0.000122,2.999805
0.007354,1.586707,1.586731,1.586670,3.173401,0.000061,2.517618
0.007375,1.414214,1.414185,1.414307,2.828491,-0.000122,2.000091
0.007396,1.217523,1.217529,1.217529,2.435059,0.000000,1.482378
0.007417,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000
0.007437,0.765367,0.765381,0.765381,1.530762,0.000000,0.585808
0.007458,0.517638,0.517639,0.517578,1.035217,0.000061,0.267919
0.007479,0.261052,0.261047,0.260986,0.522034,0.000061,0.068130
0.007500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.007521,-0.261052,-0.261047,-0.260986,-0.522034,-0.000061,0.068130
0.007542,-0.517638,-0.517639,-0.517578,-1.035217,-0.000061,0.267919
0.007562,-0.765367,-0.765381,-0.765381,-1.530762,0.000000,0.585808
0.007583,-1.000000,-1.000000,-1.000000,-2.000000,0.000000,1.000000
0.007604,-1.217523,-1.217529,-1.217529,-2.435059,0.000000,1.482378
0.007625,-1.414214,-1.414185,-1.414307,-2.828491,0.000122,2.000091
0.007646,-1.586707,-1.586731,-1.586670,-3.173401,-0.000061,2.517618
0.007667,-1.732051,-1.732056,-1.731934,-3.463989,-0.000122,2.999805
0.007687,-1.847759,-1.847778,-1.847656,-3.695435,-0.000122,3.414059
0.007708,-1.931852,-1.931824,-1.931885,-3.863708,0.000061,3.732061
0.007729,-1.982890,-1.982910,-1.982910,-3.965820,0.000000,3.931933
0.007750,-2.000000,-2.000000,-2.000000,-4.000000,0.000000,4.000000
0.007771,-1.982890,-1.982910,-1.982910,-3.965820,0.000000,3.931933
