time,original,quantized,error
0.2866041667,-1.2175228580,-1.1875000000,-0.0300228580
0.2866250000,-1.4142135624,-1.4375000000,0.0232864376
0.2866458333,-1.5867066806,-1.5625000000,-0.0242066806
0.2866666667,-1.7320508076,-1.7500000000,0.0179491924
0.2866875000,-1.8477590650,-1.8750000000,0.0272409350
0.2867083333,-1.9318516526,-1.9375000000,0.0056483474
0.2867291667,-1.9828897227,-2.0000000000,0.0171102773
0.2867500000,-2.0000000000,-2.0000000000,0.0000000000
0.2867708333,-1.9828897227,-2.0000000000,0.0171102773
0.2867916667,-1.9318516526,-1.9375000000,0.0056483474
0.2868125000,-1.8477590650,-1.8750000000,0.0272409350
0.2868333333,-1.7320508076,-1.7500000000,0.0179491924
0.2868541667,-1.5867066806,-1.5625000000,-0.0242066806
0.2868750000,-1.4142135624,-1.4375000000,0.0232864376
0.2868958333,-1.2175228580,-1.1875000000,-0.0300228580
0.2869166667,-1.0000000000,-1.0000000000,-0.0000000000
0.2869375000,-0.7653668647,-0.7500000000,-0.0153668647
0.2869583333,-0.5176380902,-0.5000000000,-0.0176380902
0.2869791667,-0.2610523844,-0.2500000000,-0.0110523844
0.2870000000,-0.0000000000,0.0000000000,-0.0000000000
0.2870208333,0.2610523844,0.2500000000,0.0110523844
0.2870416667,0.5176380902,0.5000000000,0.0176380902
0.2870625000,0.7653668647,0.7500000000,0.0153668647
0.2870833333,1.0000000000,1.0000000000,-0.0000000000
0.2871041667,1.2175228580,1.1875000000,0.0300228580
0.2871250000,1.4142135624,1.4375000000,-0.0232864376
0.2871458333,1.5867066806,1.5625000000,0.0242066806
0.2871666667,1.7320508076,1.7500000000,-0.0179491924
0.2871875000,1.8477590650,1.8750000000,-0.0272409350
0.2872083333,1.9318516526,1.9375000000,-0.0056483474
0.2872291667,1.9828897227,2.0000000000,-0.0171102773
0.2872500000,2.0000000000,2.0000000000,0.0000000000
0.2872708333,1.9828897227,2.0000000000,-0.0171102773
0.2872916667,1.9318516526,1.9375000000,-0.0056483474
0.2873125000,1.8477590650,1.8750000000,-0.0272409350
0.2873333333,1.7320508076,1.7500000000,-0.0179491924
0.2873541667,1.5867066806,1.5625000000,0.0242066806
0.2873750000,1.4142135624,1.4375000000,-0.0232864376
0.2873958333,1.2175228580,1.1875000000,0.0300228580
0.2874166667,1.0000000000,1.0000000000,0.0000000000
0.2874375000,0.7653668647,0.7500000000,0.0153668647
0.2874583333,0.5176380902,0.5000000000,0.0176380902
0.2874791667,0.2610523844,0.2500000000,0.0110523844
0.2875000000,0.0000000000,0.0000000000,0.0000000000
0.2875208333,-0.2610523844,-0.2500000000,-0.0110523844
0.2875416667,-0.5176380902,-0.5000000000,-0.0176380902
0.2875625000,-0.7653668647,-0.7500000000,-0.0153668647
0.2875833333,-1.0000000000,-1.0000000000,0.0000000000
0.2876041667,-1.2175228580,-1.1875000000,-0.0300228580
0.2876250000,-1.4142135624,-1.4375000000,0.0232864376
0.2876458333,-1.5867066806,-1.5625000000,-0.0242066806
0.2876666667,-1.7320508076,-1.7500000000,0.0179491924
0.2876875000,-1.8477590650,-1.8750000000,0.0272409350
0.2877083333,-1.9318516526,-1.9375000000,0.0056483474
0.2877291667,-1.9828897227,-2.0000000000,0.0171102773
0.2877500000,-2.0000000000,-2.0000000000,0.0000000000
0.2877708333,-1.9828897227,-2.0000000000,0.0171102773
0.2877916667,-1.9318516526,-1.9375000000,0.0056483474
0.2878125000,-1.8477590650,-1.8750000000,0.0272409350
0.2878333333,-1.7320508076,-1.7500000000,0.0179491924
0.2878541667,-1.5867066806,-1.5625000000,-0.0242066806
0.2878750000,-1.4142135624,-1.4375000000,0.0232864376
0.2878958333,-1.2175228580,-1.1875000000,-0.0300228580
0.2879166667,-1.0000000000,-1.0000000000,-0.0000000000
0.2879375000,-0.7653668647,-0.7500000000,-0.0153668647
0.2879583333,-0.5176380902,-0.5000000000,-0.0176380902
0.2879791667,-0.2610523844,-0.2500000000,-0.0110523844
0.2880000000,-0.0000000000,0.0000000000,-0.0000000000
0.2880208333,0.2610523844,0.2500000000,0.0110523844
0.2880416667,0.5176380902,0.5000000000,0.0176380902
0.2880625000,0.7653668647,0.7500000000,0.0153668647
0.2880833333,1.0000000000,1.0000000000,-0.0000000000
0.2881041667,1.2175228580,1.1875000000,0.0300228580
0.2881250000,1.4142135624,1.4375000000,-0.0232864376
0.2881458333,1.5867066806,1.5625000000,0.0242066806
0.2881666667,1.7320508076,1.7500000000,-0.0179491924
0.2881875000,1.8477590650,1.8750000000,-0.0272409350
